% humedad;Tiempo horno;Temp horno
0.165;30;125
0.129;30;125
0.142;30;125
0.116;30;125
0.091;30;130
0.112;30;130
0.129;30;130
0.108;30;130
0.098;30;135
0.081;30;135
0.098;30;135
0.106;30;135
0.129;60;125
0.102;60;125
0.108;60;125
0.111;60;125
0.127;60;130
0.092;60;130
0.092;60;130
0.091;60;130
0.128;60;135
0.097;60;135
0.076;60;135
0.091;60;135
0.105;90;125
0.122;90;125
0.081;90;125
0.083;90;125
0.04;90;130
0.05;90;130
0.051;90;130
0.039;90;130
0.028;90;135
0.043;90;135
0.048;90;135
0.029;90;135
